DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 sree_01_pred_15.wav	 2.328	 0.000	 0	 16000	0.0000
 sree_01_feat_15.wav	 2.491	 0.000	 0	 16000	0.0000
 sree_01_pred_16.wav	 2.614	 0.000	 0	 16000	0.0000
 sree_01_feat_16.wav	 2.388	 0.000	 0	 16000	0.0000
 sree_01_pred_17.wav	 2.595	 0.000	 0	 16000	0.0000
 sree_01_feat_17.wav	 2.484	 0.000	 0	 16000	0.0000
 sree_01_pred_18.wav	 2.555	 0.000	 0	 16000	0.0000
 sree_01_feat_18.wav	 2.581	 0.000	 0	 16000	0.0000
 stan_02_pred_5.wav	 2.846	 0.000	 0	 16000	0.0000
 stan_02_feat_5.wav	 2.338	 0.000	 0	 16000	0.0000
 stan_03_pred_13.wav	 3.009	 0.000	 0	 16000	0.0000
 stan_03_feat_13.wav	 2.479	 0.000	 0	 16000	0.0000
 stan_03_pred_17.wav	 2.684	 0.000	 0	 16000	0.0000
 stan_03_feat_17.wav	 2.404	 0.000	 0	 16000	0.0000
 tobc_01_pred_27.wav	 2.624	 0.000	 0	 16000	0.0000
 tobc_01_feat_27.wav	 2.130	 0.000	 0	 16000	0.0000
 tobc_01_pred_9.wav	 2.333	 0.000	 0	 16000	0.0000
 tobc_01_feat_9.wav	 2.066	 0.000	 0	 16000	0.0000
 tobc_02_pred_6.wav	 2.435	 0.000	 0	 16000	0.0000
 tobc_02_feat_6.wav	 1.946	 0.000	 0	 16000	0.0000
 tobc_03_pred_22.wav	 2.272	 0.000	 0	 16000	0.0000
 tobc_03_feat_22.wav	 2.127	 0.000	 0	 16000	0.0000
 zuzk_01_pred_13.wav	 2.630	 0.000	 0	 16000	0.0000
 zuzk_01_feat_13.wav	 2.607	 0.000	 0	 16000	0.0000
 zuzk_01_pred_15.wav	 2.611	 0.000	 0	 16000	0.0000
 zuzk_01_feat_15.wav	 2.662	 0.000	 0	 16000	0.0000
 zuzk_02_pred_29.wav	 2.692	 0.000	 0	 16000	0.0000
 stan_02_pred_5.wav	 2.852	 0.000	 0	 16000	0.0000
 stan_02_feat_5.wav	 2.341	 0.000	 0	 16000	0.0000
 stan_03_pred_13.wav	 3.010	 0.000	 0	 16000	0.0000
 stan_03_feat_13.wav	 2.479	 0.000	 0	 16000	0.0000
 stan_03_pred_17.wav	 2.679	 0.000	 0	 16000	0.0000
 stan_03_feat_17.wav	 2.402	 0.000	 0	 16000	0.0000
 tobc_01_pred_27.wav	 2.643	 0.000	 0	 16000	0.0000
