REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/341_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/341_feat.wav	 SQValue=3.017	 3.017	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
